Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-23 09:30:00-05:00,45.95000076293945,45.9900016784668,45.849998474121094,45.9900016784668,5514,0,0,SNP
2020-11-23 09:33:00-05:00,45.880001068115234,45.880001068115234,45.880001068115234,45.880001068115234,300,0,0,SNP
2020-11-23 09:34:00-05:00,45.880001068115234,45.880001068115234,45.869998931884766,45.869998931884766,500,0,0,SNP
2020-11-23 09:37:00-05:00,45.86000061035156,45.86000061035156,45.86000061035156,45.86000061035156,330,0,0,SNP
2020-11-23 09:38:00-05:00,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,657,0,0,SNP
2020-11-23 09:39:00-05:00,45.8650016784668,45.88999938964844,45.86000061035156,45.88999938964844,1341,0,0,SNP
2020-11-23 09:40:00-05:00,45.93000030517578,45.939998626708984,45.91999816894531,45.920101165771484,1713,0,0,SNP
2020-11-23 09:42:00-05:00,45.90010070800781,45.90010070800781,45.90010070800781,45.90010070800781,906,0,0,SNP
2020-11-23 09:43:00-05:00,45.95000076293945,45.97999954223633,45.939998626708984,45.939998626708984,2539,0,0,SNP
2020-11-23 09:44:00-05:00,45.93000030517578,45.959999084472656,45.91999816894531,45.959999084472656,747,0,0,SNP
2020-11-23 09:45:00-05:00,45.93000030517578,46.040000915527344,45.88999938964844,45.9900016784668,10168,0,0,SNP
2020-11-23 09:46:00-05:00,46.0,46.029998779296875,45.9900016784668,45.9900016784668,1361,0,0,SNP
2020-11-23 09:47:00-05:00,45.970001220703125,45.970001220703125,45.970001220703125,45.970001220703125,485,0,0,SNP
2020-11-23 09:48:00-05:00,45.970001220703125,45.9900016784668,45.970001220703125,45.9900016784668,915,0,0,SNP
2020-11-23 09:49:00-05:00,45.959999084472656,45.970001220703125,45.939998626708984,45.95500183105469,1484,0,0,SNP
2020-11-23 09:50:00-05:00,45.97999954223633,45.9900016784668,45.93000030517578,45.93000030517578,4565,0,0,SNP
2020-11-23 09:51:00-05:00,45.959999084472656,45.959999084472656,45.959999084472656,45.959999084472656,135,0,0,SNP
2020-11-23 09:52:00-05:00,45.959999084472656,45.959999084472656,45.95000076293945,45.959999084472656,500,0,0,SNP
2020-11-23 09:53:00-05:00,45.970001220703125,45.970001220703125,45.970001220703125,45.970001220703125,500,0,0,SNP
2020-11-23 09:54:00-05:00,45.970001220703125,45.97639846801758,45.959999084472656,45.959999084472656,3789,0,0,SNP
2020-11-23 09:55:00-05:00,45.970001220703125,45.970001220703125,45.95500183105469,45.959999084472656,404,0,0,SNP
2020-11-23 09:56:00-05:00,45.930301666259766,45.959999084472656,45.930301666259766,45.959999084472656,1058,0,0,SNP
2020-11-23 09:57:00-05:00,45.959999084472656,45.970001220703125,45.95000076293945,45.959999084472656,2316,0,0,SNP
2020-11-23 09:58:00-05:00,45.97999954223633,45.9900016784668,45.959999084472656,45.9900016784668,903,0,0,SNP
2020-11-23 09:59:00-05:00,45.9900016784668,46.060001373291016,45.97999954223633,46.060001373291016,2635,0,0,SNP
2020-11-23 10:00:00-05:00,46.060001373291016,46.09000015258789,46.060001373291016,46.09000015258789,200,0,0,SNP
2020-11-23 10:01:00-05:00,46.06999969482422,46.06999969482422,46.060001373291016,46.060001373291016,200,0,0,SNP
2020-11-23 10:02:00-05:00,46.060001373291016,46.060001373291016,46.02000045776367,46.02000045776367,2194,0,0,SNP
2020-11-23 10:03:00-05:00,46.0099983215332,46.02000045776367,45.97999954223633,46.0099983215332,3531,0,0,SNP
2020-11-23 10:06:00-05:00,46.040000915527344,46.040000915527344,46.0,46.0,300,0,0,SNP
2020-11-23 10:07:00-05:00,46.02000045776367,46.02000045776367,45.9900016784668,45.9900016784668,673,0,0,SNP
2020-11-23 10:08:00-05:00,46.040000915527344,46.040000915527344,46.0099983215332,46.0099983215332,2294,0,0,SNP
2020-11-23 10:09:00-05:00,45.97999954223633,46.0099983215332,45.970001220703125,46.0099983215332,3418,0,0,SNP
2020-11-23 10:10:00-05:00,46.02000045776367,46.029998779296875,46.02000045776367,46.029998779296875,265,0,0,SNP
2020-11-23 10:11:00-05:00,46.0099983215332,46.02000045776367,46.00019836425781,46.02000045776367,1027,0,0,SNP
2020-11-23 10:13:00-05:00,46.02000045776367,46.02000045776367,46.02000045776367,46.02000045776367,160,0,0,SNP
2020-11-23 10:14:00-05:00,46.029998779296875,46.040000915527344,46.029998779296875,46.040000915527344,922,0,0,SNP
2020-11-23 10:15:00-05:00,46.04999923706055,46.060001373291016,46.04999923706055,46.060001373291016,511,0,0,SNP
2020-11-23 10:16:00-05:00,46.060001373291016,46.060001373291016,46.060001373291016,46.060001373291016,605,0,0,SNP
2020-11-23 10:18:00-05:00,46.06999969482422,46.08000183105469,46.06999969482422,46.08000183105469,674,0,0,SNP
2020-11-23 10:19:00-05:00,46.08000183105469,46.09000015258789,46.08000183105469,46.09000015258789,500,0,0,SNP
2020-11-23 10:20:00-05:00,46.08000183105469,46.08000183105469,46.060001373291016,46.060001373291016,500,0,0,SNP
2020-11-23 10:21:00-05:00,46.09000015258789,46.099998474121094,46.06999969482422,46.099998474121094,1382,0,0,SNP
2020-11-23 10:23:00-05:00,46.119998931884766,46.13999938964844,46.119998931884766,46.13999938964844,1593,0,0,SNP
2020-11-23 10:24:00-05:00,46.119998931884766,46.119998931884766,46.119998931884766,46.119998931884766,100,0,0,SNP
2020-11-23 10:25:00-05:00,46.11000061035156,46.119998931884766,46.04050064086914,46.119998931884766,1321,0,0,SNP
2020-11-23 10:26:00-05:00,46.040000915527344,46.040000915527344,46.040000915527344,46.040000915527344,200,0,0,SNP
