Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-23 09:30:00-05:00,508.0,508.0,508.0,508.0,2310121,0,0,TSLA
2020-11-23 09:31:00-05:00,507.8500061035156,510.3699951171875,505.7699890136719,509.84588623046875,765219,0,0,TSLA
2020-11-23 09:32:00-05:00,509.70001220703125,511.1700134277344,508.82000732421875,510.54998779296875,466458,0,0,TSLA
2020-11-23 09:33:00-05:00,510.7261962890625,513.9500122070312,510.7261962890625,512.7515869140625,460919,0,0,TSLA
2020-11-23 09:34:00-05:00,512.8300170898438,514.2100219726562,510.3299865722656,513.469970703125,419566,0,0,TSLA
2020-11-23 09:35:00-05:00,513.4998779296875,513.9121704101562,510.3500061035156,511.75,285518,0,0,TSLA
2020-11-23 09:36:00-05:00,511.6199951171875,512.6199951171875,510.3301086425781,512.4235229492188,277818,0,0,TSLA
2020-11-23 09:37:00-05:00,512.404296875,514.989990234375,512.39501953125,514.3048706054688,475721,0,0,TSLA
2020-11-23 09:38:00-05:00,514.25,514.6599731445312,512.352294921875,513.6329956054688,278494,0,0,TSLA
2020-11-23 09:39:00-05:00,513.7050170898438,514.0,512.4500122070312,513.5700073242188,203334,0,0,TSLA
2020-11-23 09:40:00-05:00,513.5700073242188,515.3300170898438,513.52001953125,514.2000122070312,450112,0,0,TSLA
2020-11-23 09:41:00-05:00,514.0609130859375,515.0,513.3099975585938,513.75,219946,0,0,TSLA
2020-11-23 09:42:00-05:00,513.7100830078125,515.77001953125,513.2999877929688,515.0198974609375,350490,0,0,TSLA
2020-11-23 09:43:00-05:00,515.2498779296875,515.77001953125,514.3646850585938,515.3900146484375,244430,0,0,TSLA
2020-11-23 09:44:00-05:00,515.3699951171875,518.4000244140625,514.8499755859375,518.0100708007812,487940,0,0,TSLA
2020-11-23 09:45:00-05:00,518.1699829101562,519.4400024414062,518.0700073242188,519.25,343508,0,0,TSLA
2020-11-23 09:46:00-05:00,519.2000122070312,520.7498779296875,519.0,520.0700073242188,556423,0,0,TSLA
2020-11-23 09:47:00-05:00,520.0974731445312,520.2664794921875,518.6500854492188,519.8800048828125,314875,0,0,TSLA
2020-11-23 09:48:00-05:00,519.8933715820312,519.9580078125,518.0999755859375,518.593994140625,224360,0,0,TSLA
2020-11-23 09:49:00-05:00,518.5700073242188,519.0778198242188,516.75,516.8099975585938,317812,0,0,TSLA
2020-11-23 09:50:00-05:00,516.7822875976562,517.4099731445312,514.3300170898438,515.0549926757812,340839,0,0,TSLA
2020-11-23 09:51:00-05:00,515.0150756835938,518.0098876953125,515.0150756835938,517.8200073242188,318113,0,0,TSLA
2020-11-23 09:52:00-05:00,517.8300170898438,519.0,517.3900146484375,517.7476806640625,247786,0,0,TSLA
2020-11-23 09:53:00-05:00,517.719970703125,517.8400268554688,516.2100830078125,516.75,154806,0,0,TSLA
2020-11-23 09:54:00-05:00,516.6749877929688,518.094970703125,516.5599975585938,518.0,188043,0,0,TSLA
2020-11-23 09:55:00-05:00,518.1300048828125,519.5,518.1300048828125,518.7817993164062,281893,0,0,TSLA
2020-11-23 09:56:00-05:00,518.7642211914062,518.8699951171875,517.5,517.6328735351562,205643,0,0,TSLA
2020-11-23 09:57:00-05:00,517.6466064453125,517.8599853515625,516.0,517.1765747070312,202288,0,0,TSLA
2020-11-23 09:58:00-05:00,517.282470703125,517.72998046875,516.8284301757812,517.2999267578125,121398,0,0,TSLA
2020-11-23 09:59:00-05:00,517.2999267578125,518.5449829101562,517.2777709960938,518.1199951171875,183236,0,0,TSLA
2020-11-23 10:00:00-05:00,518.240478515625,520.1619262695312,518.240478515625,520.1619262695312,417606,0,0,TSLA
2020-11-23 10:01:00-05:00,520.1453247070312,521.419921875,518.27001953125,520.2100219726562,465102,0,0,TSLA
2020-11-23 10:02:00-05:00,520.4199829101562,521.92529296875,520.1500244140625,521.9099731445312,308231,0,0,TSLA
2020-11-23 10:03:00-05:00,521.7949829101562,522.0,519.4086303710938,520.27001953125,316689,0,0,TSLA
2020-11-23 10:04:00-05:00,520.3099975585938,521.7171020507812,519.9000244140625,521.515625,193828,0,0,TSLA
2020-11-23 10:05:00-05:00,521.385009765625,522.2199096679688,520.8599853515625,521.02001953125,226169,0,0,TSLA
