Date,Open,Close
01/01/1985,1277.719971,1286.77002
01/02/1985,1276.939941,1284.01001
01/03/1985,1285.339966,1266.780029
01/04/1985,1264.800049,1258.060059
01/05/1985,1257.180054,1315.410034
01/06/1985,1321.23999,1335.459961
01/07/1985,1334.01001,1347.449951
01/08/1985,1350.02002,1334.01001
01/09/1985,1333.670044,1328.630005
01/10/1985,1329.640015,1374.310059
01/11/1985,1372.130005,1472.130005
01/12/1985,1471.329956,1546.670044
01/01/1986,1546.219971,1570.98999
01/02/1986,1570.530029,1709.060059
01/03/1986,1706.189941,1818.609985
01/04/1986,1822.079956,1783.97998
01/05/1986,1777.900024,1876.709961
01/06/1986,1874.189941,1892.719971
01/07/1986,1889.76001,1775.310059
01/08/1986,1775.310059,1898.339966
01/09/1986,1903.26001,1767.579956
01/10/1986,1775.030029,1877.709961
01/11/1986,1880.619995,1914.22998
01/12/1986,1900.170044,1895.949951
01/01/1987,1900.589966,2158.040039
01/02/1987,2152.97998,2223.98999
01/03/1987,2228.209961,2304.689941
01/04/1987,2277.129883,2286.360107
01/05/1987,2282.23999,2291.570068
01/06/1987,2309.620117,2418.530029
01/07/1987,2410.080078,2572.070068
01/08/1987,2547.830078,2662.949951
01/09/1987,2666.77002,2596.280029
01/10/1987,2601.5,1993.530029
01/11/1987,1972.650024,1833.550049
01/12/1987,1860.25,1938.829956
01/01/1988,1952.589966,1958.219971
01/02/1988,1972.810059,2071.620117
01/03/1988,2074.929932,1988.060059
01/04/1988,1989.890015,2032.329956
01/05/1988,2032.160034,2031.119995
01/06/1988,2029.339966,2141.709961
01/07/1988,2144.909912,2128.72998
01/08/1988,2126.23999,2031.650024
01/09/1988,2023.109985,2112.909912
01/10/1988,2110.77002,2148.649902
01/11/1988,2145.090088,2114.51001
01/12/1988,2110.949951,2168.570068
01/01/1989,2163.209961,2342.320068
01/02/1989,2334.290039,2258.389893
01/03/1989,2267.320068,2293.620117
01/04/1989,2296.189941,2418.800049
01/05/1989,2402.48999,2480.149902
01/06/1989,2477.669922,2440.060059
01/07/1989,2448.790039,2660.659912
01/08/1989,2665.969971,2737.27002
01/09/1989,2732.330078,2692.820068
01/10/1989,2692.820068,2645.080078
01/11/1989,2640.570068,2706.27002
01/12/1989,2712.669922,2753.199951
01/01/1990,2748.719971,2590.540039
01/02/1990,2594.139893,2627.25
01/03/1990,2621.620117,2707.209961
01/04/1990,2684.01001,2656.76001
01/05/1990,2668.459961,2876.659912
01/06/1990,2900.969971,2880.689941
01/07/1990,2883.169922,2905.199951
01/08/1990,2909.899902,2614.360107
01/09/1990,2590.840088,2452.47998
01/10/1990,2474.25,2442.330078
01/11/1990,2441.830078,2559.649902
01/12/1990,2572.27002,2633.659912
01/01/1991,2627.22998,2736.389893
01/02/1991,2735.389893,2882.179932
01/03/1991,2859.649902,2913.860107
01/04/1991,2901.97998,2887.870117
01/05/1991,2901.47998,3027.5
01/06/1991,3023.030029,2906.75
01/07/1991,2925.540039,3024.820068
01/08/1991,3022.800049,3043.600098
01/09/1991,3042.040039,3016.77002
01/10/1991,3026.159912,3069.100098
01/11/1991,3075.360107,2894.679932
